z,vel
2.6,1519.482154766847
3.6,1519.6581600352206
4.6,1519.8369010488857
5.6,1520.00067847928
6.6,1520.1543340716198
7.6,1520.318271464195
8.6,1520.4867842580356
9.6,1520.5777534699682
10.6,1520.653753847530
11.6,1520.7979075460962
12.6,1520.966048979847
13.6,1521.136199538847
14.7,1521.3353579036586
15.6,1521.4129170532854
16.6,1521.4519591042226
17.6,1521.6069472556526
18.6,1521.7331089883257
19.6,1521.8694722633231
20.6,1522.0155066441714
21.6,1522.155941862065
22.7,1522.2940216746326
23.6,1522.302439388958
24.6,1522.108920920559
25.6,1521.93521489168
26.6,1521.4925261036171
27.6,1521.38755002789
28.6,1521.404525934598
29.6,1521.1854750246862
30.6,1520.5524468285741
31.7,1520.310548301657
32.6,1520.2006764770344
33.6,1520.2630500882985
34.6,1520.398234619501
35.7,1520.4476353611947
36.6,1520.4105240465049
37.6,1520.4791737880014
38.7,1520.5611178159243
39.6,1520.2438593803106
40.6,1519.7589854519335
41.6,1519.7336007383465
42.6,1519.648868071376
43.6,1519.3683714269073
44.7,1519.5063257354707
45.7,1519.6745005963755
46.6,1519.7830457769437
47.7,1519.819235552477
48.6,1519.8662438117333
49.6,1519.7322441672015
50.6,1519.7620932168995
51.6,1519.6942448855673
52.6,1519.7096493597362
53.6,1519.683411749896
54.6,1519.8145102741469
55.6,1519.965740890765
56.6,1520.132933629021
57.7,1520.3063775338267
58.6,1520.3334136743558
59.6,1520.4437901909257
60.6,1520.535581691742
61.6,1520.6776410451246
62.6,1520.781742906594
63.6,1520.9228529699978
64.6,1520.9941819597616
65.6,1520.9576228937838
66.6,1521.0616500916651
67.6,1521.2032518086153
68.6,1521.2544102699865
69.6,1521.365536244845
70.6,1521.517786376299
71.6,1521.5929592198954
72.6,1521.6887196981622
73.6,1521.7552309449918
74.6,1521.894892125652
75.6,1522.0501373140837
76.6,1522.2187306090968
77.7,1522.4043769403083
78.7,1522.557635777657
79.6,1522.6880476166402
80.6,1522.6713175079826
81.6,1522.7436029682628
82.6,1522.8822972279913
83.6,1522.9603745292695
84.6,1523.006768704708
85.6,1523.096493175592
86.6,1523.2121676786605
87.6,1523.3340090152312
88.6,1523.471962456449
89.7,1523.6153664150174
90.6,1523.7216787183052
91.6,1523.8532459020923
92.6,1523.8922680092007
93.6,1523.9123889030523
94.6,1524.0387892176009
95.6,1524.192027539045
96.6,1524.3514513374128
97.6,1524.499498477716
98.6,1524.6530884161502
99.6,1524.8125983108591
100.6,1524.9542590293872
101.6,1525.0798266719605
102.6,1525.1617541000894
103.6,1525.2024690837904
104.6,1525.1864157963046
105.6,1525.311473356963
106.6,1525.485447493474
107.6,1525.66921402364
108.5,1525.8218354265562
109.6,1525.9528878171534
110.7,1525.9907419113647
111.6,1525.8846916721102
112.6,1525.8788736972756
113.6,1526.003542321419
114.6,1526.1743352426313
115.6,1526.341833803818
116.6,1526.470718122451
117.7,1526.6424585427662
118.7,1526.80180304687
119.6,1526.8568478719744
120.6,1526.9794670797462
121.6,1527.11793202709
122.6,1527.2720064013938
123.6,1527.423468865045
124.6,1527.5698981688336
125.6,1527.7345791675318
126.7,1527.8773616443816
127.6,1527.9874793649021
128.6,1528.132310431097
129.6,1528.2467785342653
130.6,1528.349982986584
131.6,1528.5079228351728
132.6,1528.6572445742
133.6,1528.806620679178
134.6,1528.9625775889274
135.7,1529.064534684045
136.6,1529.170525022094
137.6,1529.3097184674352
138.6,1529.4426937745272
139.6,1529.5875222687098
140.6,1529.704835568873
141.6,1529.844102202688
142.6,1529.969594016649
143.6,1530.1031767206916
144.6,1530.2043081672866
145.6,1530.2888785757339
146.6,1530.263113805963
147.6,1530.265482252561
148.5,1530.4041661523916
149.6,1530.5859336898488
150.6,1530.7031860209345
151.6,1530.7963604068138
152.7,1530.997795397848
153.6,1531.0936211347548
154.6,1531.232761671789
155.6,1531.3802413531685
156.6,1531.5234493409293
157.6,1531.6732453211098
158.6,1531.8371256881333
159.6,1532.0073327274984
160.6,1532.165833368773
161.6,1532.3195364743392
162.6,1532.484192544847
163.6,1532.650140412696
164.6,1532.8107044283124
165.6,1532.9729995696446
166.6,1533.1387535099761
167.6,1533.3063558668002
168.6,1533.4739319558907
169.6,1533.6367981899416
170.6,1533.8006044159067
171.6,1533.9655274155286
172.6,1534.1312731595174
173.6,1534.265806365498
174.6,1534.1783420380707
175.6,1534.203210830762
176.6,1534.3240691031974
177.6,1534.446769399929
178.6,1534.5860675027443
179.6,1534.7408267305425
180.7,1534.9079995538489
181.6,1535.0373617502373
182.6,1535.1783992228823
183.6,1535.3169375200803
184.6,1535.455592786552
185.7,1535.608775881629
186.6,1535.7400836685415
187.6,1535.8908632609414
188.6,1536.0395858462512
189.6,1536.1726828900953
190.7,1536.3271938500968
191.6,1536.4533266011636
192.6,1536.5868897745154
193.6,1536.7167402527912
194.6,1536.847235453005
195.6,1536.9872756042469
196.6,1537.1252250500424
197.6,1537.2346074039215
198.6,1537.3375393489423
199.6,1537.4878679389128
200.6,1537.6518264854217
201.6,1537.8040485190538
202.6,1537.9095611487794
203.6,1538.0294658456694
204.6,1538.1412456474036
205.6,1538.2577911255976
206.6,1538.3855540926852
207.7,1538.5407621681495
208.6,1538.65263348889
209.7,1538.8022841024836
210.6,1538.9174300953887
211.6,1539.0447714380527
212.6,1539.1695948698994
213.6,1539.3010896402295
214.7,1539.449900930242
215.6,1539.5390928118456
216.6,1539.6059639205948
217.6,1539.708168825629
218.7,1539.8522926515466
219.6,1539.9957704252308
220.6,1540.1587055757593
221.6,1540.325378972406
222.6,1540.4935061732288
223.6,1540.656690182981
224.6,1540.80529781161
225.7,1540.889090070198
226.6,1540.924832076884
227.6,1540.9877431116872
228.6,1541.0758399275762
229.6,1541.2064018939225
230.6,1541.3701634727665
231.6,1541.5347938136235
232.6,1541.6907107514016
233.6,1541.8467241600304
234.6,1541.9951367423223
235.6,1542.1315334240223
236.6,1542.2931513685944
237.7,1542.4727279626502
238.6,1542.6015928011843
239.6,1542.7266346528975
240.6,1542.8660586672497
241.6,1543.016120776265
242.6,1543.1603315421105
243.6,1543.3037982510627
244.7,1543.4395910761261
245.6,1543.528772734853
246.7,1543.677944068679
247.6,1543.7752125091572
248.6,1543.871511001636
249.6,1543.9843530352382
250.7,1544.1325547242584
251.6,1544.2299759680623
252.7,1544.3767435873513
253.6,1544.4706461027506
254.6,1544.5326148250856
255.6,1544.6410166436704
256.7,1544.8118322790158
257.6,1544.9321107203964
258.6,1545.065217398276
259.6,1545.2086025255155
260.6,1545.3484834317255
261.6,1545.4569152166794
262.6,1545.5918621841934
263.6,1545.7554675720644
264.6,1545.9182324711114
265.7,1546.097125072385
266.7,1546.2607712180286
267.6,1546.4095472355655
268.6,1546.5748498065677
269.6,1546.7036441118757
270.6,1546.7942881423992
271.6,1546.9369889083546
272.6,1547.083413009088
273.6,1547.1886097958584
274.6,1547.2965011148444
275.6,1547.4356063029152
276.6,1547.5873930622402
277.6,1547.7307716400412
278.6,1547.8468819591199
279.6,1547.9343331327268
280.6,1548.0075259992345
281.6,1548.1394364813407
282.7,1548.3030613058233
283.6,1548.4404452354238
284.6,1548.599892904708
285.6,1548.746528234251
286.6,1548.8737135994356
287.6,1549.0023158964111
288.6,1549.147097873413
289.6,1549.2793189649162
290.6,1549.3724565228088
291.6,1549.505336727958
292.6,1549.637698304845
293.6,1549.7450662064082
294.6,1549.8656457396867
295.7,1550.0334517305773
296.6,1550.158476847428
297.6,1550.2920046831052
298.6,1550.439024958665
299.6,1550.5847936775865
300.6,1550.7481299690057
301.6,1550.9069058870841
302.6,1550.940047576058
303.7,1550.9257642760115
304.7,1551.0569697303808
305.6,1551.1844244028493
306.6,1551.305706990465
307.6,1551.3795609193535
308.6,1551.4854875955637
309.6,1551.6376730546776
310.6,1551.7952821317042
311.6,1551.9188193497534
312.6,1551.9776773200742
313.6,1552.0764633230403
314.6,1552.2043532168057
315.6,1552.3319547437618
316.6,1552.4604924821042
317.6,1552.561853109018
318.6,1552.7015626938253
319.6,1552.8620430437777
320.7,1553.0321196295313
321.6,1553.1752169271754
322.6,1553.3193615625123
323.6,1553.4520151904599
324.6,1553.5630701947555
325.6,1553.6662417389553
326.6,1553.7745140577208
327.7,1553.889683987987
328.6,1553.9829473037062
329.6,1554.1471168117168
330.6,1554.269542349136
331.7,1554.4277715979676
332.6,1554.5708685595357
333.6,1554.7179539717552
334.6,1554.8792169896183
335.6,1555.0410573241227
336.6,1555.175092823509
337.6,1555.3170544818593
338.6,1555.464194326474
339.6,1555.6213656301613
340.6,1555.7851497720535
341.7,1555.933443394469
342.6,1556.0028831230268
343.6,1556.0819581825676
344.6,1556.2090549483994
345.6,1556.3544236185458
346.7,1556.4951903335798
347.6,1556.5895959262793
348.6,1556.7181397729328
349.6,1556.8024543904573
350.6,1556.9339343400309
351.6,1557.080340561338
352.6,1557.2298878629363
353.6,1557.3619769715492
354.6,1557.472676032568
355.6,1557.5585927250147
356.6,1557.679792655121
357.6,1557.836220170338
358.7,1558.0145678219935
359.7,1558.1805405131968
360.6,1558.3297754106397
361.6,1558.4936297857994
362.6,1558.649896544145
363.6,1558.8117134608626
364.6,1558.9603415910847
365.6,1559.0628301998483
366.6,1559.147207259908
367.6,1559.259406007819
368.6,1559.385269618817
369.6,1559.5118660540581
370.6,1559.653106304595
371.6,1559.8010301842091
372.6,1559.9516099368132
373.6,1560.0418464879392
374.6,1560.161958104654
375.6,1560.3178576648966
376.6,1560.4802689249636
377.6,1560.6340681837842
378.6,1560.796612748356
379.6,1560.9598364957835
380.6,1561.1277903586977
381.6,1561.294624169607
382.6,1561.4546274861732
383.6,1561.6103704600412
384.6,1561.7606088924124
385.6,1561.9061328975283
386.6,1562.0589754689622
387.6,1562.206786733534
388.6,1562.3377683638744
389.6,1562.482868564056
390.6,1562.599036391249
391.6,1562.6859521743106
392.6,1562.8333261855348
393.6,1562.9819537768062
394.6,1563.1249720103235
395.6,1563.2827143379243
396.6,1563.436528789693
397.6,1563.5813900804242
398.6,1563.7348038407551
399.6,1563.897859316604
400.6,1564.055423807032
401.6,1564.1613871060197
402.6,1564.3029862151677
403.6,1564.4593689846172
404.7,1564.6340876497545
405.7,1564.788649846017
406.6,1564.919945334015
407.6,1565.0223871254639
408.6,1565.0994942136463
409.6,1565.2541104327124
410.6,1565.414794032707
411.6,1565.5674254915616
412.6,1565.7147794376503
413.7,1565.88982339835
414.5,1566.0273074579507
415.6,1566.2093345716212
416.6,1566.3537757311099
417.6,1566.4771392676016
418.6,1566.6110421938652
419.6,1566.7644776701661
420.6,1566.9180766047025
421.6,1567.0788710990594
422.6,1567.240428192383
423.6,1567.4000103190224
424.6,1567.526424824523
425.7,1567.6204395298926
426.7,1567.7085798504045
427.6,1567.8073235184036
428.6,1567.9614318713545
429.7,1568.1385583347687
430.6,1568.28170498644
431.6,1568.4395631972054
432.6,1568.5964009235793
433.6,1568.7475195293582
434.6,1568.8986828696507
435.6,1569.0641230523145
436.6,1569.2320105592219
437.6,1569.4003777020837
438.6,1569.5262776694979
439.6,1569.6338875228605
440.6,1569.798527300546
441.6,1569.9344357923562
442.6,1570.07169976208
443.6,1570.2073869220028
444.6,1570.3576096964662
445.6,1570.5100821824208
446.6,1570.6366946868375
447.6,1570.7791561694294
448.6,1570.926245052068
449.6,1571.0609053938708
450.6,1571.2221883130153
451.7,1571.4059359692635
452.6,1571.54705468823
453.6,1571.7034600328716
454.6,1571.8564863095696
455.6,1571.980435877271
456.6,1572.1301100981316
457.6,1572.2825905187244
458.6,1572.4306805680037
459.6,1572.5909136675639
460.6,1572.7335941270937
461.6,1572.8326113420628
462.6,1572.9721199656574
463.6,1573.1234743184868
464.6,1573.2440467000797
465.6,1573.3261648218265
466.6,1573.462365519757
467.6,1573.6119713868486
468.6,1573.7658721526873
469.6,1573.9233925450615
470.6,1574.0702436066922
471.7,1574.2413915349402
472.7,1574.4068346395381
473.6,1574.5588092291343
474.6,1574.7302184163166
475.7,1574.9162240285748
476.6,1575.059769564548
477.6,1575.188917122793
478.7,1575.3535390462894
479.6,1575.454247292481
480.6,1575.5940755592062
481.6,1575.725681604332
482.6,1575.8723929092648
483.6,1576.0284925341343
484.6,1576.1860343149513
485.6,1576.3385257440827
486.6,1576.4873336328938
487.6,1576.6444820931767
488.7,1576.8295300842688
489.6,1576.9876714836832
490.6,1577.1871536429185
491.6,1577.3781527565898
492.6,1577.563186511557
493.6,1577.7631247762215
494.7,1578.0037906898003
495.6,1578.125046999653
496.6,1578.1684834662
497.6,1578.3042581499012
498.6,1578.4765249329696
499.6,1578.6446927086781
500.6,1578.8040924977963
501.6,1578.979711639428
502.6,1579.1745728981366
503.6,1579.3504330939188
504.6,1579.517650443788
505.6,1579.6838483079475
506.6,1579.850573669612
507.6,1580.0151044819781
508.6,1580.173204834395
509.6,1580.3275144101012
510.6,1580.4919353133564
511.6,1580.6505997214754
512.6,1580.8071552853587
513.6,1580.9470757378333
514.6,1581.0782109271893
515.7,1581.2331989830723
516.6,1581.342072512277
517.6,1581.4901708256155
518.6,1581.6476444979123
519.6,1581.8045381415416
520.7,1581.9827003308674
521.7,1582.1436305814539
522.6,1582.280501947931
523.6,1582.446828119538
524.6,1582.6162039685923
525.6,1582.7848796380085
526.6,1582.9547223127156
527.6,1583.1246544900234
528.6,1583.2936025297206
529.6,1583.462976098572
530.6,1583.6322730441498
531.6,1583.8006695881882
532.6,1583.9693256129797
533.7,1584.1550682945262
534.6,1584.3061523818455
535.6,1584.4675467108084
536.6,1584.638757528533
537.6,1584.8661473772652
538.6,1585.0939249669148
539.5,1585.284861928946
540.6,1585.4781520595081
541.6,1585.6554700855604
542.6,1585.825272882141
543.6,1585.994982138431
544.6,1586.1610978916592
545.6,1586.3253303794488
546.6,1586.4914611010709
547.6,1586.64066289141
548.6,1586.7801239666842
549.6,1586.9218669073807
550.6,1587.0415840949258
551.6,1587.1687011357012
552.6,1587.3075315946637
553.6,1587.4822769210173
554.6,1587.6518722678159
555.7,1587.8408276567545
556.6,1587.9987117780495
557.6,1588.183839613246
558.6,1588.384059235982
559.6,1588.5569565592339
560.7,1588.7114033038363
561.7,1588.7604008757207
562.6,1588.8898456905852
563.6,1589.049884250235
564.6,1589.2174588149892
565.7,1589.4284773827712
566.6,1589.602308840488
567.6,1589.7475904436337
568.6,1589.888836842162
569.6,1590.0548049444665
570.6,1590.2193444968489
571.6,1590.3769584366842
572.7,1590.521270762748
573.6,1590.6867772278565
574.6,1590.8695914055006
575.6,1591.1015606356489
576.6,1591.3249740059491
577.6,1591.4902376725736
578.6,1591.6700364329968
579.7,1591.868810964011
580.6,1592.067675219546
581.6,1592.2717249497416
582.6,1592.4425723158806
583.6,1592.6150902339127
584.7,1592.7999816048891
585.6,1592.9388847073558
586.5,1593.0832381471312
587.6,1593.2669403373984
588.6,1593.4753228657273
589.7,1593.7815899962884
590.6,1593.9951320618493
591.6,1594.154413548888
592.6,1594.3137041199973
593.6,1594.4989355777511
594.6,1594.6699753847556
595.6,1594.8413528102724
596.7,1595.0277590653263
597.6,1595.1771030018865
598.6,1595.3438552101964
599.6,1595.4708625926864
600.7,1595.592360961839
601.6,1595.7207138439217
602.6,1595.8619360928808
603.7,1596.0095727871433
604.6,1596.1264755528052
605.6,1596.2703414294665
606.6,1596.3913434764413
607.6,1596.5444554088915
608.6,1596.7475696775712
609.6,1596.9613089230152
610.6,1597.154954252528
611.6,1597.3386334779855
612.6,1597.522644064443
613.7,1597.704451917122
614.5,1597.8318766412049
615.6,1598.004353934598
616.6,1598.1525082895457
617.6,1598.3056408395032
618.6,1598.4625426383086
619.7,1598.6470392345805
620.6,1598.7940742022156
621.6,1598.9180590411443
622.6,1598.9809673798363
623.6,1599.0823154140426
624.7,1599.2303888986983
625.6,1599.3607693397323
626.6,1599.4896632675902
627.7,1599.665098702533
628.6,1599.8027003139332
629.6,1599.9793678610756
630.6,1600.160092746874
631.6,1600.3267778733903
632.6,1600.5082636160887
633.6,1600.6894437967906
634.6,1600.8649264054288
635.6,1601.0199205553613
636.6,1601.201303101724
637.6,1601.3752213664802
638.7,1601.4318102706525
639.6,1601.5187217316811
640.6,1601.6383762518567
641.6,1601.8258818478766
642.6,1601.886305783417
643.7,1602.1165945699122
644.6,1602.2861033678055
645.6,1602.5001855577689
646.6,1602.784684403068
647.6,1602.9056076296151
648.6,1602.9622056201185
649.6,1603.053594912375
650.6,1603.0985855859074
651.6,1603.2602303781014
652.6,1603.4975630496076
653.6,1603.687739105511
654.6,1603.8466908325518
655.6,1604.015819653272
656.6,1604.1856159642355
657.6,1604.3404752458136
658.7,1604.513229829703
659.6,1604.6697111093326
660.6,1604.8313591337715
661.6,1605.0071742863984
662.6,1605.1844301531316
663.6,1605.3566033149211
664.7,1605.5511730773399
665.6,1605.7066909134633
666.6,1605.876105285701
667.6,1606.0542168909053
668.7,1606.2402125452236
669.6,1606.4000721579241
670.7,1606.6186424785951
671.6,1606.6550050804112
672.6,1606.6813826881498
673.6,1606.8248578323912
674.6,1606.9828018857486
675.7,1607.1643415719984
676.6,1607.3002757216889
677.6,1607.4121276561677
678.6,1607.5162738691063
679.6,1607.6563977159492
680.5,1607.7985622911867
681.6,1607.9433360703435
682.7,1608.118929610931
683.6,1608.2698745943858
684.7,1608.4556771780617
685.6,1608.608521111664
686.6,1608.7793589267367
687.6,1608.9498729941472
688.6,1609.1204117468067
689.6,1609.2894063095432
690.6,1609.4580593590333
691.7,1609.6439725242037
692.6,1609.7936602770549
693.6,1609.9597556929411
694.6,1610.1257018938263
695.6,1610.2863854327836
696.7,1610.447199344004
697.6,1610.5737010725773
698.6,1610.7354681163808
699.6,1610.900845780495
700.6,1611.07049034247
701.6,1611.2380296398817
702.7,1611.4259145241756
703.6,1611.5709847314095
704.6,1611.7363040786213
705.6,1611.9061964359992
706.6,1612.0766555447633
707.6,1612.246248502378
708.6,1612.4104962066035
709.6,1612.577361548654
710.6,1612.744118542679
711.6,1612.9101104026463
712.6,1613.0663350674854
713.6,1613.2160377429582
714.6,1613.3826176319897
715.6,1613.5599198856426
716.6,1613.7876916933405
717.6,1613.959046425648
